	year	num_pages
600	2014	6.0
601	2014	14.0
602	2014	11.0
603	2014	12.0
604	2014	8.0
605	2014	14.0
606	2014	10.0
607	2014	14.0
608	2014	15.0
609	2014	12.0
610	2014	11.0
611	2014	13.0
612	2014	13.0
613	2014	10.0
614	2014	12.0
615	2014	13.0
616	2014	10.0
617	2014	13.0
618	2014	12.0
619	2014	11.0
620	2014	12.0
621	2014	11.0
622	2014	11.0
623	2014	11.0
624	2014	12.0
625	2014	10.0
626	2014	13.0
627	2014	11.0
628	2014	11.0
629	2014	12.0
630	2014	12.0
631	2014	11.0
632	2014	11.0
633	2014	12.0
634	2014	11.0
635	2014	11.0
636	2014	12.0
637	2014	11.0
638	2014	11.0
639	2014	11.0
640	2014	12.0
641	2014	10.0
642	2014	10.0
643	2014	12.0
644	2014	12.0
645	2014	10.0
646	2014	10.0
647	2014	6.0
648	2014	11.0
649	2014	12.0
650	2014	10.0
651	2014	13.0
652	2014	12.0
653	2014	13.0
654	2014	11.0
655	2014	13.0
656	2014	12.0
657	2014	11.0
658	2014	9.0
659	2014	12.0
660	2014	12.0
661	2014	11.0
662	2014	11.0
663	2014	12.0
664	2014	12.0
665	2014	12.0
666	2014	14.0
667	2014	11.0
668	2014	14.0
669	2014	11.0
670	2014	15.0
671	2014	10.0
672	2014	11.0
673	2014	12.0
674	2014	10.0
675	2014	11.0
676	2014	11.0
677	2014	12.0
678	2014	9.0
679	2014	13.0
680	2014	11.0
681	2014	12.0
682	2014	11.0
683	2014	11.0
684	2014	12.0
685	2014	12.0
686	2014	11.0
687	2014	9.0
688	2014	12.0
689	2014	14.0
690	2014	12.0
691	2014	12.0
692	2014	12.0
693	2015	14.0
694	2015	14.0
695	2015	13.0
696	2015	12.0
697	2015	13.0
698	2015	13.0
699	2015	13.0
700	2015	10.0
701	2015	11.0
702	2015	14.0
703	2015	13.0
704	2015	11.0
705	2015	11.0
706	2015	14.0
707	2015	16.0
708	2015	12.0
709	2015	11.0
710	2015	10.0
711	2015	14.0
712	2015	12.0
713	2015	11.0
714	2015	11.0
715	2015	12.0
716	2015	14.0
717	2015	15.0
718	2015	11.0
719	2015	11.0
720	2015	10.0
721	2015	12.0
722	2015	14.0
723	2015	8.0
724	2015	10.0
725	2015	11.0
726	2015	12.0
727	2015	14.0
728	2015	12.0
729	2015	11.0
730	2015	10.0
731	2015	9.0
732	2015	13.0
733	2015	10.0
734	2015	12.0
735	2015	10.0
736	2015	15.0
737	2015	14.0
738	2015	10.0
739	2015	14.0
740	2015	12.0
741	2015	17.0
742	2015	12.0
743	2015	16.0
744	2015	11.0
745	2015	10.0
746	2015	13.0
747	2015	14.0
748	2015	10.0
749	2015	14.0
750	2015	12.0
751	2015	12.0
752	2015	10.0
753	2015	9.0
754	2015	14.0
755	2015	8.0
756	2015	10.0
757	2015	10.0
758	2015	13.0
759	2015	10.0
760	2015	11.0
761	2015	7.0
762	2015	13.0
763	2015	13.0
764	2015	12.0
765	2015	12.0
766	2015	15.0
767	2015	12.0
768	2015	14.0
769	2015	12.0
770	2015	9.0
771	2015	12.0
772	2015	11.0
773	2015	12.0
774	2015	13.0
775	2015	16.0
776	2015	11.0
777	2015	12.0
778	2015	12.0
779	2015	13.0
780	2015	12.0
781	2015	10.0
782	2015	12.0
783	2015	14.0
784	2015	10.0
785	2015	13.0
786	2015	9.0
787	2015	14.0
788	2015	5.0
789	2015	12.0
790	2015	6.0
791	2015	15.0
792	2015	10.0
793	2015	13.0
794	2015	8.0
795	2015	13.0
796	2015	11.0
797	2015	12.0
798	2015	12.0
799	2015	7.0
800	2015	12.0
801	2015	13.0
802	2015	11.0
803	2015	11.0
804	2015	12.0
805	2015	12.0
806	2015	11.0
807	2015	5.0
808	2015	15.0
809	2015	14.0
810	2015	11.0
811	2015	12.0
812	2015	11.0
813	2015	15.0
814	2015	11.0
815	2015	12.0
816	2015	12.0
817	2015	11.0
818	2015	12.0
819	2015	11.0
820	2015	16.0
821	2015	13.0
822	2015	12.0
823	2015	15.0
824	2015	9.0
825	2015	14.0
826	2015	12.0
827	2015	10.0
828	2015	10.0
829	2015	15.0
830	2015	12.0
831	2015	10.0
832	2015	11.0
833	2015	12.0
834	2015	12.0
835	2015	10.0
836	2015	13.0
837	2015	11.0
838	2015	13.0
839	2015	10.0
840	2015	12.0
841	2015	12.0
842	2015	12.0
843	2015	13.0
844	2015	12.0
845	2015	12.0
846	2015	12.0
847	2015	12.0
848	2015	11.0
849	2015	12.0
850	2015	10.0
851	2015	14.0
852	2015	10.0
853	2015	12.0
854	2016	12.0
855	2016	13.0
856	2016	12.0
857	2016	12.0
858	2016	14.0
859	2016	10.0
860	2016	12.0
861	2016	11.0
862	2016	11.0
863	2016	11.0
864	2016	15.0
865	2016	14.0
866	2016	12.0
867	2016	12.0
868	2016	12.0
869	2016	11.0
870	2016	11.0
871	2016	16.0
872	2016	11.0
873	2016	12.0
874	2016	15.0
875	2016	14.0
876	2016	14.0
877	2016	15.0
878	2016	16.0
879	2016	16.0
880	2016	11.0
881	2016	13.0
882	2016	12.0
883	2016	12.0
884	2016	11.0
885	2016	11.0
886	2016	13.0
887	2016	14.0
888	2016	6.0
889	2016	14.0
890	2016	14.0
891	2016	12.0
892	2016	13.0
893	2016	12.0
894	2016	12.0
895	2016	12.0
896	2016	12.0
897	2016	14.0
898	2016	7.0
899	2016	10.0
900	2016	12.0
901	2016	13.0
902	2016	14.0
903	2016	15.0
904	2016	12.0
905	2016	12.0
906	2016	16.0
907	2016	15.0
908	2016	12.0
909	2016	14.0
910	2016	12.0
911	2016	12.0
912	2016	15.0
913	2016	12.0
914	2016	14.0
915	2016	17.0
916	2016	13.0
917	2016	13.0
918	2016	10.0
919	2016	13.0
920	2016	12.0
921	2016	12.0
922	2016	12.0
923	2016	15.0
924	2016	13.0
925	2016	13.0
926	2016	13.0
927	2016	15.0
928	2016	13.0
929	2016	11.0
930	2016	15.0
931	2016	13.0
932	2016	12.0
933	2016	13.0
934	2016	10.0
935	2016	12.0
936	2016	12.0
937	2016	13.0
938	2016	15.0
939	2016	11.0
940	2016	13.0
941	2016	14.0
942	2016	13.0
943	2016	11.0
944	2016	15.0
945	2016	14.0
946	2016	14.0
947	2016	16.0
948	2016	13.0
949	2016	9.0
950	2016	13.0
951	2016	10.0
952	2016	14.0
953	2016	13.0
954	2016	11.0
955	2016	11.0
956	2016	15.0
957	2016	13.0
958	2016	14.0
959	2016	12.0
960	2016	14.0
961	2016	13.0
962	2016	14.0
963	2016	12.0
964	2016	10.0
